,roe,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,ratio8,ratio9,ratio10,ratio11,ev,type1,type2,type3,type4,type5
258,1,0.90 ,61.20 ,107.64 ,38.80 ,93.63 ,0.98 ,0.65 ,238.05 ,6.38 ,6.72 ,42.81 ,20377.84 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
259,1,0.84 ,56.89 ,109.42 ,43.11 ,94.03 ,0.06 ,0.87 ,194.43 ,5.30 ,7.00 ,35.39 ,185222.25 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
260,1,1.29 ,59.26 ,111.61 ,40.74 ,90.77 ,0.43 ,0.38 ,233.33 ,9.13 ,10.43 ,46.90 ,68791.31 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
261,1,0.99 ,61.69 ,111.93 ,38.31 ,93.53 ,1.03 ,0.22 ,204.75 ,6.47 ,7.29 ,35.05 ,24268.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
262,1,1.29 ,57.29 ,117.53 ,42.71 ,91.25 ,0.39 ,0.88 ,230.13 ,8.73 ,10.58 ,39.96 ,10381.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
263,1,1.38 ,61.21 ,105.25 ,38.79 ,91.74 ,2.32 ,0.50 ,163.72 ,8.66 ,8.24 ,39.03 ,21499.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
264,1,1.49 ,52.99 ,112.63 ,47.01 ,90.96 ,0.23 ,0.50 ,185.30 ,8.96 ,10.71 ,26.46 ,58481.30 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
265,1,1.14 ,42.38 ,105.55 ,57.62 ,91.35 ,0.14 ,0.45 ,143.08 ,8.70 ,9.68 ,28.42 ,235197.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
266,1,1.32 ,50.38 ,112.37 ,49.62 ,91.25 ,0.57 ,0.00 ,203.82 ,8.60 ,10.01 ,29.59 ,28413.86 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
267,1,1.60 ,42.69 ,112.53 ,57.31 ,89.45 ,0.62 ,0.90 ,145.44 ,10.20 ,12.05 ,29.33 ,45460.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
268,1,1.17 ,52.40 ,110.14 ,47.60 ,92.23 ,0.08 ,0.79 ,165.78 ,7.08 ,8.09 ,24.54 ,1416564.69 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
269,1,1.16 ,55.93 ,112.69 ,44.07 ,92.12 ,1.16 ,0.21 ,137.22 ,7.84 ,8.69 ,34.72 ,39392.83 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
270,1,1.11 ,58.55 ,112.02 ,41.45 ,93.16 ,0.17 ,0.24 ,231.16 ,6.67 ,8.05 ,36.05 ,49349.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
271,1,0.74 ,62.24 ,123.82 ,37.76 ,94.28 ,0.56 ,0.19 ,158.99 ,5.63 ,6.19 ,45.89 ,23339.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
272,1,0.77 ,61.66 ,116.74 ,38.34 ,93.53 ,0.04 ,0.32 ,197.86 ,5.69 ,6.35 ,35.22 ,488976.19 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
273,1,0.83 ,57.94 ,124.45 ,42.06 ,94.40 ,0.24 ,0.47 ,222.20 ,5.55 ,6.97 ,35.23 ,41602.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
274,1,1.12 ,48.54 ,109.12 ,51.46 ,91.39 ,0.18 ,0.14 ,159.55 ,8.22 ,9.41 ,33.00 ,599797.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
275,1,0.93 ,62.22 ,111.34 ,37.78 ,94.32 ,0.19 ,0.25 ,236.60 ,5.65 ,6.68 ,37.81 ,29090.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
276,1,1.00 ,52.58 ,107.68 ,47.42 ,91.82 ,0.09 ,0.58 ,173.98 ,8.09 ,8.97 ,34.47 ,619964.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
277,1,1.03 ,57.95 ,109.38 ,42.05 ,93.59 ,0.09 ,0.12 ,165.82 ,5.19 ,5.94 ,38.08 ,127134.56 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
278,1,1.09 ,64.16 ,115.41 ,35.84 ,93.27 ,0.54 ,1.72 ,290.39 ,6.59 ,7.74 ,35.07 ,20072.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
279,1,1.16 ,58.67 ,111.11 ,41.33 ,92.03 ,0.13 ,0.44 ,210.60 ,7.38 ,8.84 ,28.24 ,362637.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
280,1,1.10 ,44.49 ,109.56 ,55.51 ,92.12 ,0.09 ,0.43 ,97.14 ,7.71 ,8.52 ,29.94 ,111118.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
281,1,1.24 ,66.35 ,113.57 ,33.65 ,92.22 ,0.32 ,0.55 ,265.23 ,7.70 ,9.11 ,34.98 ,120227.69 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
282,1,0.99 ,51.57 ,107.54 ,48.43 ,92.05 ,0.09 ,0.32 ,160.78 ,7.87 ,8.88 ,36.26 ,173441.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
283,1,1.50 ,51.97 ,110.91 ,48.03 ,90.59 ,0.56 ,1.60 ,199.52 ,9.17 ,10.47 ,38.94 ,16059.95 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
284,1,1.39 ,50.66 ,111.84 ,49.34 ,91.80 ,0.22 ,0.78 ,198.82 ,8.05 ,9.82 ,30.58 ,35959.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
285,1,1.12 ,52.83 ,110.28 ,47.17 ,92.96 ,0.32 ,1.13 ,171.52 ,7.04 ,8.32 ,34.35 ,49739.97 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
286,1,1.27 ,59.14 ,108.21 ,40.86 ,91.10 ,0.81 ,0.58 ,220.84 ,8.72 ,9.77 ,37.23 ,57307.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
287,1,1.11 ,67.49 ,114.58 ,32.51 ,92.21 ,0.76 ,1.40 ,303.45 ,7.81 ,9.06 ,38.61 ,24012.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
288,1,1.38 ,51.67 ,109.75 ,48.33 ,91.88 ,0.23 ,0.32 ,159.93 ,7.97 ,9.28 ,26.40 ,65103.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
289,1,0.90 ,72.56 ,109.90 ,27.44 ,94.18 ,0.25 ,0.97 ,314.08 ,5.82 ,6.40 ,42.06 ,39803.92 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
290,1,1.06 ,52.38 ,111.67 ,47.62 ,92.64 ,0.36 ,0.44 ,180.60 ,7.27 ,8.61 ,22.63 ,245109.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
291,1,1.33 ,54.85 ,110.45 ,45.15 ,91.27 ,0.39 ,0.51 ,204.41 ,8.59 ,9.72 ,33.47 ,67886.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
